,fecha,user,texto,ubicacion
198,2021-01-27T02:05:47.000Z,radiosensacion800a.m,"Mañana en @sensacionmatinal estaremos con #DiegoGortaire Analista Político, para hablar sobre el debate presidencial organizado por el #CNE

Escúchanos por 👉 www.sensacion800am.com de 8am 🕗 a 10am 🕙
✔️
✔️
✔️
Síguenos en 👇
Facebook: Radio Sensación 800AM https://www.facebook.com/sensacion800am
Twitter: @s800am https://twitter.com/S800am
Youtube https://www.youtube.com/channel/UClroL-ECiR50YAXESJzMygg/videos?view=0&sort=dd&shelf_id=0

#entrevista #invitado #Política #DebatePresidencial2021 #Elecciones2021 #sensacionmatinal #RadioSensacion800am",No data
199,2021-01-27T01:58:18.000Z,eldato.ec,"Te dejo El Dato https://eldato.ec/
Haz el cuestionario y quítate de dudas.
Se responsable con tu voto.

Síguenos en:

Facebook: El Dato
Twitter: Eldato.ec
#Ecuador #DebatePresidencial2021 #Elecciones2021ec",No data
200,2021-01-27T00:54:14.000Z,papa_dememe,"No lo soporto 🤭
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias",No data
201,2021-01-27T00:53:22.000Z,papa_dememe,"Sigue nomás ✌🏻
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #meme #ecuador #guayaquil #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias",No data
202,2021-01-27T00:45:45.000Z,papa_dememe,"Avisados están 🤚🏻
.
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa",No data
203,2021-01-26T23:57:41.000Z,sensacionmatinal,"#ENTREVISTA ⤵️

Mañana estaremos con #DiegoGortaire Analista Político, para hablar sobre el debate presidencial organizado por el #CNE

Escúchanos por 👉 www.sensacion800am.com

Sigue la entrevista por Facebook Live de Radio Sensación 800 AM

#entrevista #invitado #Política #DebatePresidencial2021 #Elecciones2021 #sensacionmatinal #RadioSensacion800am

@radiosensacion800a.m",No data
204,2021-01-26T02:55:46.000Z,eldato.ec,"Ecuador necesita un cambio. Haz tu cuestionario e infórmate más sobre los candidatos a la presidencia.

https://eldato.ec/

#Ecuador #DebatePresidencial2021 #Elecciones2021ec #INSTAGRAFITI
#GRAFITEANDOCONELDATO #DATOGRAFITI",No data
205,2021-01-25T23:07:03.000Z,galocabanillaec,"Esta noche te invito a escucharme en la entrevista que tendré con @ucsg_tv sobre el tema de la dolarización

#GeneraciondelCambio #mejorandovidas #GaloCabanilla #EleccionesEcuador2021 #Elecciones2021 #Economia #DebatePresidencial2021 #PiensaEcuador #Politica #Ecuador #Guayaquil",No data
206,2021-01-25T22:37:12.000Z,papa_dememe,"Una vida totalmente engañado 😒
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias #mesiasecuador #aud #cremadelimon #encebollado #tresnotas",No data
207,2021-01-25T20:37:11.000Z,darmanalytics,"Algunos otros datos sobre el #DebatePresidencial2021. Entre ellos top 10 de palabras más mencionadas, hashtags más utilizados y horas en las que más tweets se realizaron.

#datamining #datascience",No data
208,2021-01-25T19:03:00.000Z,xavi_fans_atrevete,"El camino a la presidencia

🧡 vota por Xavi

#quito #ecuador #xavierhervas #xavierhervaspresidente #presidente #eleccionesecuador2021 #elecciones2021ec #fans #edits #followers #followｍe #newaccount #xavierhervasatrevete #xavierhervaspresidente🍊🧡🍊🧡🍊🧡 #presidencia #enero2021 #edits #love #smile #elcambio #atrevete #zoomconxavi #zoom #debatepresidencial #debatepresidencial2021",No data
209,2021-01-25T13:19:11.000Z,papa_dememe,"La biología es tan misteriosa. 🐸🐊🦎
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias #mesiasecuador",No data
210,2021-01-25T13:11:38.000Z,papa_dememe,"Qué la política no nos aleje y sea motivo de reflexión. Tengan cuidado. 😂
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias #mesiasecuador",No data
211,2021-01-24T15:19:02.000Z,gustavolarreac_si,"Esta noche estaré en el #DebatePresidencial2021 de TC Televisión para exponer mis propuestas de Gobierno sobre crédito, empleo y nuestro programa #HambreCero, que cambiarán la vida de millones de ecuatorianos.

#GustavoLarreaPresidente
#AlexandraPeraltaVicepresidenta #HambreCero
#SíEsPosible #VotaTodo20 #Elecciones2021 #EmpleoSí #CréditoSí",No data
212,2021-01-24T04:56:11.000Z,maritza6124,Chicago vota Democracia Si ♥️ listas 20,No data
213,2021-01-23T22:22:55.000Z,darmanalytics,"Quienes fueron los actores más importantes del #DebatePresidencial2021? Mira nuestro análisis utilizando una técnica de #networkanalysis ☑️ #elecciones2021ec

Link en biografía ☝🏼

#datascience #analytics",No data
214,2021-01-23T21:48:27.000Z,ecuatorianounido_oficial,"Nosotros entendemos que en este tiempo tenemos que aplicar la Ética, por eso nosotros establecemos el Pragmatismo Ético. @gersonalmeidaec 🇪🇨✨

#DiosPatriaYLibertad #GersonPresidente #DebatePresidencial2021 #VotaTodo4",No data
215,2021-01-23T20:37:27.000Z,papa_dememe,"📌 IMPORTANTE
.
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito",No data
219,2021-01-30T21:39:57.000Z,telmusy,"New digital drawing, this one’s of the great portuguese jornalist @claradesousaoficial
•
Swipe left for the original photo
•
•
•
#tvi #claradesousa #debatepresidencial #debate #sic #sicnoticias #jornalist #jornalism #jornalismo #art #drawing #photoshop #digitaldrawing #adobe",No data
221,2021-01-30T01:03:03.000Z,upenin.ecu,"Conoce lo que el candidato @paulcarrascoc respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #paulcarrasco #lista33 #juntospodemos #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
222,2021-01-30T01:00:13.000Z,upenin.ecu,"Conoce lo que el candidato @yakuperezg respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #yakuperez #lista18 #pachakutik #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
223,2021-01-30T00:57:45.000Z,upenin.ecu,"Conoce lo que el candidato @ecuarauz respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #andresarauz #lista1 #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
224,2021-01-30T00:35:55.000Z,upenin.ecu,"Conoce lo que el candidato @juanfervelasco respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #juanfernandovelasco #movimientoconstruye #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
229,2021-01-28T18:58:28.000Z,kronicle_official,"Application form in BIO

Visit our page for complete details and updates:-
Facebook: kroniclekiit

For any tournament related queries, feel free to contact:
Email: kronicleofficial@gmail.com
Anjay Sahoo: +91 95876 95355
Prabhas Behura: +91 95999 17518
.
.
.
.
#britishparliament #britishparliamentarydebate #britishparliamentary #parliamentarydebate
#britishparliamentarydebate #parliamentarydebates #parliamentarydebatecompetition #parliamentarydebatecup #debate #debatepresidencial #debatememe #debatememes #debate #debate2020 #debate2021 #asianparliamentarydebate #debatesociety #debatesoc #debsoc #debates #2020pd #2021pd",No data
230,2021-01-28T11:38:39.000Z,_.youthforum._,"Greetings from Youth Forum!

Youth Forum 2021 is here!! We bring you 2 days of captivating debate, diplomacy and an exceptional delegate experience .

Youth Forum is happening on the 20 nd and 21st March, 2021 on an online platform with a great EB , diverse range of committees and attractive prizes. We offer you the finest debating experience .

We will be simulating a mix of 4 committees at Youth Forum MUN 2021:
1) SPECIAL SPACE SESSION
Agenda - Space Colonization and Asteroid Mining.

2) WHO
Agenda - Combating Antimicrobial Resistance and Strengthening Public Health and Legality of Recreational Drug Use.

3) COMMISSION ON NARCOTIC DRUGS - Agenda-Online Drug Trafficking.

4) IP and Meme Council - Journalism, Press and memes.

The registrations are open now!!!

*To register follow the link*:

https://docs.google.com/forms/d/1I9LjiQu1yV-NVBxDwMeaJq00rw8tb_1j_U4OizNbCyg/edit

Follow us on Instagram page for latest updates:

https://www.instagram.com/_.youthforum._/

Email-

youthforum388@gmail.com

It would be great if you can give recognition to our little initiative.

Do get back to us!

Regards,
Team Youth Forum

Contact us:

Krish Anand (Founder President)-
+91 97174 76759

Aditya Rohit Bansal (Founder)-
+91 98115 97411

Anhad Sood (Co-founder)-
+91 9999937709

🍀20th and 21st March, 2021🍀

🫐 *_Perks of Being a delegate at YouthForumMUN*🫐
*1.* Participation certificates to all delegates attending Committee session📜
*2.* Certificate of Appreciation to All winners signed by the Ex. Lt. Governor of Delhi📄
*3.* Letter of Recommendation to the best Delegation signed by the same.
*4.* Constant communication with our Hospitality Team📲
*5.* Background guides 15 days prior to the conference📔
*6.* Free international Delegation 💸
*7.* Value-added Certificates✨
*8.* Social Media Recognition to Winners📱
*9.* Chance to be a part of secretariate in the next Edition

🐚🐚 *DM To know More* 🐚🐚

#munnardiaries #mins #MUN #mun #munrefugeechallenge #memes #social #spacex #socialservice #spacefacts #socialservice #socialmediamarketing #socialservices #speech #debate #debatepresidencial #debatecompetition #debtfreecommunity #debate2020 #debate2021",No data
231,2021-01-27T23:44:48.000Z,upenin.ecu,"Conoce lo que el candidato @isidroromerocarbo respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #isidroromero #partidoavanza #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
234,2021-01-27T16:51:20.000Z,officialmikepencefly__,It’s John Barron now,No data
235,2021-01-27T13:03:23.000Z,utbanulhaq945,"""Don't limit yourself""..
.
.
.
.
.
#pakistan#instagood#motivation#motivationalquotes#speaker#insipration#world#instagram#männer#deepquotes#deep#fashion#findyourself#discover#love#religion#debatepresidencial#skills#university#unique#china🇨🇳 #changsha#doctor#selfcare",No data
236,2021-01-27T01:07:31.000Z,nostomamosec,"CUENCA 📣📣
¿Sabían que, además de las elecciones, tendrán una consulta popular? Este proceso se dará el mismo 7 de febrero del 2021 y las preguntas serán referentes a la prohibición de la explotación minera metálica a gran escala en la zona de recarga hídrica de los ríos Tarqui, Yanuncay, Machángara, Tomebamba y Norcay.

#Elecciones2021 #ConsultaPopular #debatepresidencial #ecuador",No data
240,2021-01-26T23:17:20.000Z,upenin.ecu,"Conoce lo que el candidato @carlossagnaydelabastida10 respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #carlossagnaydelabastida #carlossagnaydelabastidapresidente2021 #fuerzaecuador #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
241,2021-01-26T18:03:32.000Z,upenin.ecu,"Conoce lo que el candidato @giovanny.andrade.92754 respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #giovannyandrade #movimientounion #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
242,2021-01-26T17:45:50.000Z,upenin.ecu,"Conoce lo que el candidato @guillermoceli respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #guillermoceli #suma #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera #movimientosuma",No data
243,2021-01-26T17:04:15.000Z,upenin.ecu,"Conoce lo que el candidato @xhervas.ec respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #hervaspresidente #xavierhervaspresidente #izquierdademocrática #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
244,2021-01-26T15:22:51.000Z,kronicle_official,"Registration link in BIO

Visit our page for complete details and updates:-
Facebook: kroniclekiit

For any tournament related queries, feel free to contact:
Email: kronicleofficial@gmail.com
Anjay Sahoo: +91 95876 95355
Prabhas Behura: +91 95999 17518
.
.
.
.
#britishparliament #britishparliamentarydebate #britishparliamentary #parliamentarydebate
#britishparliamentarydebate #parliamentarydebates #parliamentarydebatecompetition #parliamentarydebatecup #debate #debatepresidencial #debatememe #debatememes #debate #debate2020 #debate2021 #asianparliamentarydebate #debatesociety #debatesoc #debsoc #debates #2020pd #2021pd",No data
247,2021-01-25T18:07:05.000Z,wambraec,"#Elecciones2021

El candidato Giovanny Andrade denunció que fue drogado con escopolamina durante el #DebatePresidencial organizado por el CNE, lo que habría alterado su capacidad para contestar las preguntas referidas a derechos humanos, y más concretamente, la pregunta sobre el embarazo en niñas y adolescentes.

¿Fue la escopolamina, o un discurso antiderechos?

#DiscursoAntiderechos",No data
248,2021-01-25T16:18:05.000Z,kronicle_official,"Registration link in BIO

Visit our page for complete details and updates:-
Facebook: kroniclekiit

For any tournament related queries, feel free to contact:
Email: kronicleofficial@gmail.com
Anjay Sahoo: +91 95876 95355
Prabhas Behura: +91 95999 17518
.
.
.
.#britishparliament #britishparliamentarydebate #britishparliamentary #parliamentarydebate
#britishparliamentarydebate #parliamentarydebates #parliamentarydebatecompetition #parliamentarydebatecup #debate #debatepresidencial #debatememe #debatememes #debate #debate2020 #debate2021 #asianparliamentarydebate #debatesociety #debatesoc #debsoc #debates #2020pd #2021pd",No data
249,2021-01-25T13:25:24.000Z,_.youthforum._,#MUN #mun #muns #munnar #social #socialmediamarketing #society #societyfeelings #socialservices #debate #debatepresidencial #debatecompetition #debtfreecommunity #debtfreecommunity #debate2020 #debate2021,No data
259,2021-01-30T00:00:16.000Z,resistencia.ec,"#LassoPresidente2021 #CapacidadParaCambiar #EcuadorDebate2021
#Elecciones2021Ec",No data
265,2021-01-24T16:19:14.000Z,galocabanillaec,"Este lunes expondré mi análisis sobre el tema de la dolarización tan comentado en esta época de campaña electoral. No se pierdan esta entrevista en @ucatolica.gye

#GeneraciondelCambio #GaloCabanilla #UTEG #EcuadorDebate2021 #EleccionesEcuador2021",No data
266,2021-01-23T12:22:15.000Z,galocabanillaec,"¿Cuáles son las características que debería tener un candidato a la presidencia para poder elegir mejor?

#PiensaEcuador #GeneraciondelCambio #mejorandovidas #GaloCabanilla #EleccionesEcuador2021 #Elecciones2021Ec #EcuadorDebate2021",No data
267,2021-01-23T00:46:23.000Z,upenin.ecu,"Conoce lo que el candidato @gustavolarreac_si respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #gustavolarreapresidente #gustavolarrea #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
268,2021-01-22T02:00:33.000Z,upenin.ecu,"Conoce lo que el candidato @luciogutierrez3 respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #luciogutierrez #partidosociedadpatriótica #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
269,2021-01-22T01:58:34.000Z,upenin.ecu,"Conoce lo que el candidato @pjfreile respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #pedrojoséfreile #movimientoamigo #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
270,2021-01-21T22:20:59.000Z,civiskratos,"#ECUADOR – 2DO DEBATE PRESIDENCIAL🇪🇨
-
El 10 de enero se desarrolló en el Teatro de la Casa de la Cultura Ecuatoriana por segunda noche consecutiva el Debate Presidencial 2021.
-
Desde Civiskratos te contamos lo más resaltante de esta segunda noche de Debates y quiénes participan por la Presidencia de Ecuador.
-
Los candidatos que presentaron sus propuestas en el segundo día de Debate fueron:
✅Juan Fernando Velasco, candidato por el “Movimiento Construye Ecuador (MC25)” anteriormente llamado “Ruptura 25 (R25)”.
✅Pedro José Freile, candidato por el “Movimiento AMIGO 16”.
✅Guillermo Celi, candidato por el “Movimiento SUMA”.
✅Xavier Hervas, candidato por el partido “Izquierda Democrática 12”.
✅César Montúfar, candidato por el “Movimiento Concertación”, anteriormente llamado “Concertación Nacional Democrática”.
✅Gerson Almeida, candidato por el “Movimiento Ecuatoriano Unido”.
✅Lucio Gutiérrez, candidato por el partido “Sociedad Patriótica”.
-
Durante su intervención los candidatos explicaron sus propuestas con las siguientes temáticas: Salud y pandemia; Economía y empleo; Seguridad ciudadana; y Corrupción.
-
Los candidatos plantearon propuestas como, la reducción de los poderes del Estado a tres (Ejecutivo, Legislativo y Judicial); también la generación de riquezas, según lo cual se lograría al trabajar la explotación racional de los recursos, el desarrollo y el emprendimiento.
-
Asimismo, no se podía dejar por fuera los temas como, reactivación de la economía, generación de empleo para los jóvenes ecuatorianos, el empoderamiento económico de la mujer y la defensa de la dolarización en el país.
-
🤔Déjanos saber en los comentarios⬇️⬇️
-
¿Qué piensas de las propuestas de los candidatos a la presidencia de Ecuador tras este segundo debate?
-
#ecuador🇪🇨
#debatepresidencial
#elecciones2021
#ecuadordebate2021",No data
271,2021-01-21T18:34:36.000Z,fcd_ecuador,"¿Qué viajes se realizaron durante el estado de excepción? y de estos ¿cuáles fueron los más costosos? Ingresa a www.gastopublico.org

#EsMiPlata
#EcuadorDebate2021 #Covid19",No data
272,2021-01-21T18:08:58.000Z,elsurcoec,"¿Cómo eran las campañas políticas antes de las redes sociales?

Te has preguntado ¿Cómo eran las campañas políticas antes de las redes sociales? Pues muchos candidatos usaban la radio como medio principal para darse a conocer y los ""jingles ó cuñas"" eran parte importante de las campañas.

Hoy les presentamos el jingle de Sixto Durán Ballén para la campaña de 1978.

#EcuadorDebate2021 #VotaInformado #Elecciones2021 #Elecciones2021Ec #jinglescomerciales #campañaelectoralEC #jingles #cuñas #todossomos1 #elbinomiodelaesperanza #CapacidadParaCambiar #YakuPresidente
#ClaroQueSePuede #quito #manabi #cuenca #guayaquil
#YakuEs #arauzrabascall #arauz #CNE #cuñasenvinilo #discosdevinilo #vinylcollection #vinylcollector #vinilosecuador",No data
273,2021-01-21T01:59:39.000Z,upenin.ecu,"Conoce lo que el candidato @gersonalmeidaec respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #gersonalmeida #ecuatorianounido #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
274,2021-01-21T01:56:10.000Z,upenin.ecu,"Conoce lo que la candidata @ximena.pena1 respondió acerca de su plan de gobierno.
•
• ¡Estamos aquí para tí! 💜💚.
•
•
•
#ecuadordebate2021 #ecuador #ximenapeña #alianzapais #debatepresidencial #upenin #negocios #inversiones #noticias #noticiasecuador #informate #elecciones2021ec #finanzas #ecomia #educacionfinanciera",No data
275,2021-01-20T16:36:16.000Z,cuadernosandino,"#Noticias 🇪🇨 El 7 de febrero, los/as ecuatorianos deberán elegir presidente. En medio de pandemia, la administración de Lenín Moreno tiene 90 % de desaprobación y el 40% de la población no ha decidido su voto.

✍️Más Aquí: https://t.co/IuFB01D7sH

#EcuadorDebate2021 #ElPuebloNoSeDetiene",No data
